time 	 LH 	 RH
7691	 7691	 7691 
000.019	50.0000	50.0000	
000.033	51.0678	48.9322	
000.086	52.1234	47.8766	
000.152	52.5469	47.4531	
000.232	51.9908	48.0092	
000.270	51.9554	48.0446	
000.340	52.2344	47.7656	
000.405	53.1637	46.8363	
000.462	53.7550	46.2450	
000.528	54.5085	45.4915	
000.589	55.1070	44.8930	
000.649	55.4115	44.5885	
000.718	54.2413	45.7587	
000.782	55.0425	44.9575	
000.825	56.0238	43.9762	
000.902	55.7066	44.2934	
000.966	54.5381	45.4619	
001.030	54.4913	45.5087	
001.090	55.0063	44.9937	
001.149	54.2398	45.7602	
001.219	53.1234	46.8766	
001.283	52.3622	47.6378	
001.340	52.4241	47.5759	
001.404	51.5909	48.4091	
001.452	50.7505	49.2495	
001.516	48.9292	51.0707	
001.592	47.9591	52.0409	
001.650	48.1497	51.8503	
001.719	47.2340	52.7660	
001.784	46.2958	53.7042	
001.827	45.6501	54.3499	
001.905	46.5292	53.4708	
001.968	45.4339	54.5661	
002.017	44.9308	55.0692	
002.076	46.2129	53.7871	
002.151	48.1044	51.8956	
002.221	47.7842	52.2158	
002.284	48.5642	51.4358	
002.328	49.5756	50.4244	
002.402	50.5833	49.4167	
002.465	50.3446	49.6554	
002.530	49.5439	50.4561	
002.589	50.0161	49.9839	
002.650	50.8105	49.1895	
002.717	50.8323	49.1677	
002.783	49.5879	50.4121	
002.838	48.8815	51.1185	
002.901	49.2176	50.7824	
002.966	48.6215	51.3785	
003.030	46.8697	53.1303	
003.082	46.8135	53.1865	
003.136	47.8408	52.1592	
003.203	47.3214	52.6787	
003.281	45.6951	54.3049	
003.337	45.7211	54.2789	
003.401	46.5169	53.4831	
003.465	46.3441	53.6559	
003.541	45.3175	54.6825	
003.577	45.9403	54.0597	
003.635	46.3773	53.6227	
003.703	45.9168	54.0832	
003.768	45.2566	54.7434	
003.825	46.2788	53.7211	
003.889	47.5500	52.4500	
003.969	47.0610	52.9390	
004.028	46.0452	53.9548	
004.078	46.4575	53.5425	
004.150	46.3520	53.6480	
004.220	45.4840	54.5160	
004.279	44.7003	55.2997	
004.337	45.2012	54.7988	
004.403	46.0396	53.9604	
004.466	45.8839	54.1161	
004.529	46.7529	53.2471	
004.589	47.4904	52.5096	
004.650	47.2483	52.7517	
004.705	46.3294	53.6706	
004.782	48.2550	51.7450	
004.840	49.7075	50.2925	
004.894	50.8941	49.1059	
004.965	51.1413	48.8587	
005.030	52.7480	47.2520	
005.090	54.1259	45.8741	
005.149	53.3247	46.6753	
005.218	52.4198	47.5802	
005.281	52.3743	47.6257	
005.339	52.3968	47.6032	
005.394	51.9411	48.0589	
005.467	51.0261	48.9739	
005.531	50.4954	49.5046	
005.589	49.7735	50.2265	
005.649	49.3137	50.6863	
005.718	48.3506	51.6494	
005.782	47.1134	52.8866	
005.838	46.4783	53.5217	
005.902	46.6516	53.3484	
005.966	45.9382	54.0618	
006.028	45.0818	54.9182	
006.090	45.0060	54.9940	
006.149	45.2013	54.7987	
006.213	44.7677	55.2323	
006.282	43.4929	56.5071	
006.337	43.8470	56.1530	
006.403	45.4205	54.5795	
006.467	44.9676	55.0324	
006.523	44.3127	55.6873	
006.591	44.9515	55.0485	
006.650	46.3689	53.6311	
006.720	45.7977	54.2023	
006.783	45.3987	54.6013	
006.837	46.5043	53.4957	
006.895	47.7530	52.2470	
006.967	47.0353	52.9647	
007.029	47.1515	52.8485	
7692	 7692	 7692 
7701	 7701	 7701 
000.000	50.0000	50.0000	
000.036	50.0000	50.0000	
000.044	51.3158	48.6842	
000.096	52.2754	47.7246	
000.161	52.0216	47.9784	
000.224	52.8890	47.1110	
000.288	53.9225	46.0775	
000.349	54.1556	45.8443	
000.409	53.8299	46.1701	
000.477	55.0936	44.9064	
000.541	56.5779	43.4221	
000.670	57.8178	42.1822	
000.687	58.3057	41.6943	
000.725	59.1565	40.8435	
000.801	59.6395	40.3605	
000.860	60.9520	39.0480	
000.921	61.3197	38.6803	
000.989	61.9989	38.0011	
001.053	62.5942	37.4058	
001.108	63.7231	36.2769	
001.172	64.7417	35.2583	
001.237	64.1328	35.8672	
001.302	64.4276	35.5724	
001.360	65.2666	34.7334	
001.420	65.9040	34.0960	
001.489	65.7627	34.2373	
001.547	66.4724	33.5276	
001.609	66.9158	33.0842	
001.672	67.3079	32.6921	
001.736	67.3832	32.6168	
001.801	68.0675	31.9325	
001.860	68.3969	31.6031	
001.920	68.3046	31.6954	
001.988	69.2006	30.7994	
002.052	69.9338	30.0662	
002.109	70.1051	29.8949	
7702	 7702	 7702 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.039	50.0000	50.0000	
000.046	50.8317	49.1683	
000.106	51.9405	48.0595	
000.169	53.5183	46.4817	
000.233	54.6157	45.3843	
000.289	54.4619	45.5381	
000.355	54.9270	45.0730	
000.419	55.8593	44.1407	
000.484	56.8600	43.1400	
000.544	56.5597	43.4403	
000.608	56.7294	43.2706	
000.671	57.3473	42.6527	
000.736	58.0809	41.9191	
000.789	57.3123	42.6877	
000.868	58.3420	41.6580	
000.920	59.1566	40.8434	
000.984	59.7792	40.2208	
001.054	59.5224	40.4776	
001.119	59.1106	40.8894	
001.183	59.4404	40.5596	
001.247	59.2987	40.7013	
001.304	58.9781	41.0219	
001.367	59.0943	40.9057	
001.431	59.9618	40.0382	
001.496	60.4430	39.5570	
001.555	61.0904	38.9096	
001.619	60.5563	39.4437	
001.684	61.4890	38.5110	
001.748	61.6779	38.3221	
001.791	62.4374	37.5626	
001.868	63.6790	36.3210	
001.932	64.7452	35.2548	
001.998	64.5691	35.4309	
002.055	64.3592	35.6408	
002.120	64.3721	35.6279	
002.183	65.1632	34.8368	
002.246	65.4603	34.5397	
002.304	65.0583	34.9417	
002.367	64.8092	35.1908	
002.418	65.0199	34.9801	
002.482	65.8062	34.1938	
002.541	65.5245	34.4756	
002.606	64.5478	35.4522	
002.670	64.7071	35.2929	
002.734	65.2089	34.7911	
002.790	64.7125	35.2875	
002.867	63.6500	36.3500	
002.931	63.4784	36.5216	
002.995	63.2082	36.7918	
003.055	63.0226	36.9774	
003.119	61.7349	38.2651	
003.183	61.3937	38.6063	
003.247	60.3315	39.6685	
003.304	59.8456	40.1544	
003.367	59.3471	40.6530	
003.433	58.8083	41.1917	
003.496	58.5309	41.4691	
003.557	58.9012	41.0988	
003.619	59.8079	40.1921	
003.683	59.5800	40.4200	
003.747	59.4677	40.5323	
003.804	60.1335	39.8665	
003.867	61.2610	38.7390	
003.931	61.7944	38.2056	
003.995	61.0992	38.9008	
004.054	60.5767	39.4233	
004.120	61.4792	38.5208	
004.185	60.4685	39.5315	
004.248	59.0682	40.9318	
004.303	59.1191	40.8809	
004.367	59.2090	40.7910	
004.432	58.5635	41.4365	
004.496	58.1665	41.8335	
004.549	57.7158	42.2842	
004.620	57.0686	42.9314	
004.684	56.4374	43.5626	
004.741	56.4673	43.5327	
004.803	56.7534	43.2466	
004.866	57.1185	42.8815	
004.931	57.2361	42.7639	
004.994	57.2768	42.7232	
005.053	56.7369	43.2631	
005.119	57.5884	42.4116	
005.183	56.8538	43.1462	
005.247	56.8776	43.1224	
005.303	57.6833	42.3167	
005.367	58.4029	41.5971	
005.431	56.7668	43.2332	
005.495	57.2359	42.7641	
005.550	57.6023	42.3977	
005.620	57.6306	42.3694	
005.684	56.4634	43.5366	
005.748	56.5245	43.4755	
