time 	 LH 	 RH
7691	 7691	 7691 
000.068	50.0000	50.0000	
000.080	50.4896	49.5104	
000.107	50.8402	49.1598	
000.180	51.3666	48.6334	
000.260	51.1719	48.8281	
000.294	51.1560	48.8440	
000.367	50.7791	49.2209	
000.426	50.6041	49.3959	
000.479	50.0838	49.9162	
000.553	48.8210	51.1790	
000.617	47.3949	52.6051	
000.666	47.5379	52.4621	
000.732	47.5146	52.4854	
000.789	46.6165	53.3835	
000.854	46.0568	53.9432	
000.913	46.0946	53.9054	
000.977	45.4818	54.5182	
001.041	44.2273	55.7727	
001.105	43.5263	56.4737	
001.165	43.0772	56.9228	
001.229	42.2389	57.7611	
001.289	41.7504	58.2496	
001.365	41.7991	58.2009	
001.427	41.5642	58.4358	
001.488	41.0677	58.9323	
001.553	40.2243	59.7757	
001.643	40.7529	59.2471	
001.676	40.6262	59.3738	
001.742	41.0328	58.9672	
001.800	41.5543	58.4457	
001.864	42.5943	57.4057	
001.925	43.3309	56.6691	
001.990	44.5231	55.4769	
002.052	44.8846	55.1154	
002.117	45.9313	54.0687	
002.177	46.1590	53.8410	
002.240	47.3711	52.6290	
002.301	47.9212	52.0788	
002.353	48.4888	51.5112	
002.413	48.1674	51.8326	
002.477	48.7839	51.2161	
002.541	48.6611	51.3389	
002.607	48.2574	51.7426	
002.679	46.9602	53.0398	
002.729	46.3747	53.6253	
002.803	46.5076	53.4925	
002.866	46.1750	53.8250	
002.926	45.3284	54.6716	
002.984	45.4203	54.5797	
003.052	46.1320	53.8680	
003.123	46.7280	53.2720	
003.178	46.3777	53.6223	
003.242	46.6107	53.3893	
003.302	47.6120	52.3880	
003.366	48.8652	51.1348	
003.426	49.3991	50.6009	
003.491	49.6322	50.3678	
003.554	50.2513	49.7487	
003.618	50.6225	49.3775	
003.678	51.4519	48.5481	
003.743	51.4358	48.5642	
003.802	51.3961	48.6039	
003.866	51.3543	48.6457	
003.928	52.1160	47.8840	
003.990	52.2299	47.7701	
004.053	51.7544	48.2456	
