time 	 LH 	 RH
7701	 7701	 7701 
000.039	50.0000	50.0000	
000.055	48.4819	51.5181	
000.079	47.2018	52.7982	
000.157	46.5544	53.4456	
000.226	46.4200	53.5800	
000.262	46.1777	53.8223	
000.339	45.1502	54.8498	
000.401	44.9869	55.0131	
000.463	46.1147	53.8853	
000.527	46.5817	53.4182	
000.589	46.8147	53.1853	
000.654	47.2279	52.7721	
000.714	48.2465	51.7535	
000.760	48.7159	51.2841	
000.823	48.6437	51.3563	
000.887	49.0520	50.9480	
000.947	49.8319	50.1681	
001.026	49.1493	50.8507	
001.089	48.6839	51.3161	
001.153	48.6857	51.3143	
001.215	48.4249	51.5751	
001.275	48.0624	51.9376	
001.324	47.6985	52.3015	
001.387	47.9195	52.0805	
001.462	47.1903	52.8097	
001.525	47.2644	52.7356	
001.589	48.1430	51.8570	
001.653	49.5094	50.4906	
001.713	49.5912	50.4088	
001.773	49.0690	50.9310	
001.837	49.6608	50.3392	
001.894	51.3102	48.6898	
001.957	52.3152	47.6848	
002.011	51.6186	48.3814	
002.075	51.4701	48.5299	
002.139	52.1996	47.8004	
002.199	52.7909	47.2091	
002.259	51.9019	48.0981	
002.323	50.8180	49.1820	
002.388	50.5269	49.4731	
002.448	49.7520	50.2480	
002.511	48.5465	51.4535	
002.575	47.7467	52.2533	
002.639	47.1310	52.8690	
002.699	46.3905	53.6095	
002.774	45.6179	54.3821	
002.837	45.1116	54.8884	
002.902	44.6368	55.3632	
002.962	43.8382	56.1618	
003.025	42.3888	57.6112	
003.089	41.0746	58.9254	
003.154	40.0122	59.9878	
003.215	39.0587	60.9413	
003.260	37.7687	62.2313	
003.337	36.7499	63.2501	
003.400	36.6257	63.3743	
003.461	36.1802	63.8198	
003.550	35.6314	64.3686	
003.583	35.3276	64.6724	
003.653	35.1592	64.8408	
003.713	35.4831	64.5169	
003.773	37.0929	62.9071	
003.837	38.0750	61.9250	
003.902	38.5490	61.4510	
003.962	38.7646	61.2354	
004.013	38.9762	61.0238	
004.090	39.7764	60.2236	
004.153	40.2608	59.7392	
004.213	40.3353	59.6647	
004.273	39.5992	60.4008	
004.337	38.8172	61.1828	
004.401	38.4429	61.5571	
004.461	37.7378	62.2622	
004.525	37.1221	62.8779	
004.580	36.3966	63.6034	
004.639	36.6559	63.3441	
004.714	37.2766	62.7234	
004.773	38.5101	61.4899	
004.837	39.3761	60.6239	
004.901	40.0471	59.9529	
004.961	40.2458	59.7542	
005.025	40.2855	59.7145	
005.089	40.9074	59.0926	
005.154	41.9721	58.0279	
005.213	42.8714	57.1286	
005.273	43.4397	56.5603	
005.337	44.6874	55.3126	
005.402	46.4958	53.5042	
005.448	47.0664	52.9336	
005.511	47.0372	52.9628	
005.575	47.6772	52.3228	
005.639	48.6503	51.3497	
005.699	49.1650	50.8350	
005.759	48.8414	51.1586	
005.823	49.4547	50.5453	
005.887	49.6289	50.3711	
005.948	49.0688	50.9312	
006.012	48.6388	51.3611	
006.075	47.7621	52.2379	
006.155	46.2359	53.7641	
006.207	45.5968	54.4032	
006.272	45.4711	54.5289	
006.324	44.5734	55.4266	
006.405	43.5158	56.4842	
006.455	42.9099	57.0901	
006.526	42.8271	57.1729	
006.592	41.8985	58.1015	
006.654	41.0929	58.9071	
006.715	41.0135	58.9865	
006.768	41.2019	58.7981	
006.839	40.5123	59.4877	
006.888	39.8376	60.1624	
006.962	39.4536	60.5464	
007.027	39.6944	60.3056	
