time 	 LH 	 RH
7701	 7701	 7701 
000.066	50.0000	50.0000	
000.080	52.4999	47.5001	
000.099	54.8749	45.1251	
000.176	57.1312	42.8688	
000.252	59.2745	40.7255	
000.292	61.3108	38.6892	
000.362	63.2451	36.7549	
000.423	65.0828	34.9172	
000.488	66.8242	33.1758	
000.551	68.4767	31.5233	
000.607	70.0491	29.9509	
000.676	71.5455	28.4545	
000.736	72.9660	27.0340	
000.799	74.2916	25.7084	
000.861	75.5523	24.4477	
000.923	76.3226	23.6774	
000.979	75.8304	24.1696	
001.052	73.4477	26.5523	
001.108	71.5015	28.4985	
001.164	70.5330	29.4670	
001.235	69.6009	30.3991	
001.299	68.0759	31.9241	
001.359	66.6505	33.3495	
001.423	66.2206	33.7794	
001.487	64.6723	35.3277	
001.551	65.2101	34.7899	
001.631	66.2472	33.7528	
001.676	67.5414	32.4586	
001.736	68.9205	31.0795	
001.800	70.4702	29.5298	
001.851	71.9467	28.0533	
001.924	73.3493	26.6507	
001.987	74.6818	25.3182	
002.052	75.9477	24.0523	
002.108	77.1503	22.8497	
002.176	78.2928	21.7072	
002.235	79.3781	20.6219	
002.300	80.4092	19.5908	
002.359	81.3888	18.6112	
002.424	82.3193	17.6807	
002.488	83.2034	16.7966	
002.551	84.0432	15.9568	
002.608	84.8410	15.1590	
002.677	85.5990	14.4010	
002.725	86.3190	13.6810	
002.788	87.0031	12.9969	
002.848	87.6529	12.3471	
002.912	88.2703	11.7297	
002.976	88.8567	11.1433	
003.039	89.4136	10.5864	
003.096	89.9383	10.0617	
003.164	90.4297	9.5703	
7702	 7702	 7702 
7691	 7691	 7691 
000.002	50.0000	50.0000	
000.024	50.0000	50.0000	
000.027	50.0000	50.0000	
000.076	54.8583	45.1417	
000.142	57.0980	42.9020	
000.206	59.2089	40.7911	
000.270	61.2453	38.7547	
000.334	63.1599	36.8401	
000.394	64.9925	35.0075	
000.458	66.7318	33.2682	
000.518	68.3937	31.6063	
000.582	69.9175	30.0825	
000.641	71.3001	28.6999	
000.706	72.6542	27.3458	
000.770	73.9466	26.0534	
000.833	75.0239	24.9761	
000.893	75.9636	24.0364	
000.959	75.8905	24.1095	
001.017	76.9816	23.0184	
001.082	77.9837	22.0163	
001.142	79.0637	20.9363	
001.206	80.0904	19.9096	
001.270	81.0808	18.9192	
001.334	82.0251	17.9749	
001.382	82.9238	17.0762	
001.446	83.7770	16.2230	
001.506	84.5881	15.4119	
001.570	85.3587	14.6413	
001.630	86.0907	13.9093	
001.694	86.7862	13.2138	
001.758	87.4469	12.5531	
001.822	88.0745	11.9255	
001.882	88.6707	11.3292	
001.950	89.2369	10.7631	
002.018	89.7729	10.2271	
002.082	90.2837	9.7163	
7693	 7693	 7693 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.018	50.0000	50.0000	
000.021	50.0000	50.0000	
000.077	54.8750	45.1250	
000.141	57.1312	42.8688	
000.201	59.2745	40.7255	
000.265	61.3092	38.6908	
000.325	63.2433	36.7567	
000.389	65.0811	34.9189	
000.449	66.8269	33.1731	
000.513	68.4851	31.5149	
000.577	70.0602	29.9398	
000.641	71.5571	28.4429	
000.701	72.9793	27.0207	
000.765	74.3303	25.6697	
000.825	75.6136	24.3863	
000.889	76.8330	23.1670	
000.949	77.9913	22.0087	
001.013	79.0917	20.9083	
001.077	80.1372	19.8629	
001.141	81.1303	18.8697	
001.201	82.0738	17.9262	
001.265	82.9701	17.0299	
001.325	83.8216	16.1784	
001.389	84.6304	15.3696	
001.449	85.3986	14.6014	
001.513	86.1242	13.8758	
001.577	86.8174	13.1826	
001.641	87.4703	12.5297	
001.701	88.0944	11.9056	
001.765	88.6862	11.3138	
001.830	89.2483	10.7517	
001.902	89.7702	10.2298	
001.961	90.2803	9.7197	
7693	 7693	 7693 
7691	 7691	 7691 
000.000	50.0000	50.0000	
000.018	50.0000	50.0000	
000.022	52.4994	47.5006	
000.095	54.8743	45.1257	
000.152	57.1305	42.8695	
000.219	59.2740	40.7260	
000.284	61.3102	38.6898	
000.349	63.2447	36.7553	
000.408	65.0825	34.9175	
000.472	66.8284	33.1716	
000.531	68.4869	31.5131	
000.595	70.0625	29.9375	
000.655	71.5592	28.4408	
000.719	72.9812	27.0188	
000.786	74.3322	25.6678	
000.849	75.6155	24.3845	
000.910	76.8347	23.1653	
000.973	77.9930	22.0070	
001.034	79.0934	20.9066	
001.097	80.1387	19.8613	
001.156	81.1314	18.8686	
001.221	82.0748	17.9252	
001.272	82.9706	17.0294	
001.336	83.8199	16.1801	
001.396	84.6134	15.3866	
001.460	85.3429	14.6571	
001.520	86.0251	13.9749	
001.584	86.4092	13.5908	
001.644	86.3113	13.6887	
001.708	86.9440	13.0559	
001.772	87.3667	12.6333	
001.836	87.7359	12.2641	
001.896	86.4118	13.5882	
001.960	87.0132	12.9868	
002.020	87.5893	12.4107	
002.084	88.2042	11.7958	
002.148	88.7923	11.2077	
002.220	89.3527	10.6473	
002.284	89.8851	10.1149	
002.349	90.3908	9.6092	
7693	 7693	 7693 
7691	 7691	 7691 
000.002	50.0000	50.0000	
000.019	50.0000	50.0000	
000.029	52.4966	47.5034	
000.078	54.8702	45.1298	
000.132	57.1203	42.8797	
000.202	59.2613	40.7387	
000.268	61.2978	38.7022	
000.333	63.2315	36.7685	
000.398	65.0592	34.9408	
000.460	66.7992	33.2008	
000.512	68.4577	31.5423	
000.584	70.0337	29.9663	
000.644	71.5251	28.4749	
000.712	72.9204	27.0796	
000.768	74.2721	25.7279	
000.832	75.5585	24.4415	
000.891	76.7805	23.2195	
000.961	77.9399	22.0601	
001.022	79.0421	20.9579	
001.086	80.0900	19.9100	
001.145	81.0855	18.9145	
001.213	82.0311	17.9689	
001.271	82.9295	17.0705	
001.335	83.7830	16.2170	
001.399	84.5930	15.4070	
001.462	85.3626	14.6374	
001.522	86.0925	13.9075	
001.585	86.7816	13.2184	
001.646	87.4348	12.5652	
001.713	88.0622	11.9378	
001.770	88.6589	11.3411	
001.834	89.2247	10.7753	
001.898	89.7628	10.2372	
001.963	90.2745	9.7255	
7693	 7693	 7693 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.018	50.0000	50.0000	
000.021	50.0000	50.0000	
000.087	54.8648	45.1352	
000.137	57.0840	42.9160	
000.208	59.2003	40.7997	
000.259	61.2343	38.7657	
000.324	63.1707	36.8293	
000.384	64.9901	35.0099	
000.448	66.4982	33.5017	
000.512	68.1417	31.8583	
000.576	69.7301	30.2699	
000.632	71.2421	28.7579	
000.696	72.6349	27.3651	
000.760	73.9998	26.0002	
000.824	75.2958	24.7042	
000.884	76.5305	23.4695	
000.948	77.6990	22.3010	
001.012	78.8122	21.1878	
001.076	79.8689	20.1311	
001.132	80.8752	19.1248	
001.196	81.8300	18.1700	
001.260	82.7382	17.2618	
001.324	83.6008	16.3992	
001.384	84.4204	15.5796	
001.447	85.1991	14.8009	
001.512	85.9391	14.0609	
001.576	86.6421	13.3579	
001.632	87.3099	12.6901	
001.696	87.9443	12.0557	
001.760	88.5471	11.4529	
001.824	89.1197	10.8803	
001.884	89.6636	10.3364	
001.948	90.1791	9.8209	
7702	 7702	 7702 
7701	 7701	 7701 
000.000	50.0000	50.0000	
000.023	50.0000	50.0000	
000.026	52.5000	47.5000	
000.089	54.8750	45.1250	
000.149	57.1312	42.8688	
000.213	59.2747	40.7253	
000.277	61.3109	38.6891	
000.341	63.2453	36.7547	
000.397	65.0830	34.9170	
000.461	66.8287	33.1713	
000.525	68.4872	31.5128	
000.589	70.0612	29.9388	
000.649	71.5574	28.4426	
000.713	72.9772	27.0228	
000.777	74.3283	25.6717	
000.841	75.6114	24.3886	
000.897	76.8307	23.1693	
000.961	77.9890	22.0110	
001.025	79.0895	20.9105	
001.089	80.1350	19.8650	
001.149	81.1283	18.8717	
001.213	82.0719	17.9281	
001.277	82.9683	17.0317	
001.341	83.8198	16.1802	
001.397	84.6289	15.3711	
001.461	85.3974	14.6026	
001.525	86.1273	13.8727	
001.589	86.8206	13.1794	
001.649	87.4794	12.5206	
001.713	88.1038	11.8962	
001.777	88.6719	11.3281	
001.841	89.1819	10.8181	
001.898	89.7057	10.2943	
001.974	90.1747	9.8253	
7702	 7702	 7702 
7691	 7691	 7691 
000.001	50.0000	50.0000	
